Celo       celo                
MXC        mxc                 
Ravencoin  rvn                 
WazirX     wrx                 
NEM        xem                 
Decred     dcr                 
JOE        joe                 
Qtum       qtum                
Dogecoin   doge                
Gala       gala                
Moonriver  movr                
Terra      luna                
Chainlink  link                
Moonbeam   glmr                
EOS        eos                 
SXP        sxp                 
Waves      waves               
Nano       xno                 
MediBloc   med                 
Loopring   lrc                 
Ankr       ankr                
Request    req                 
Elrond     egld                
Holo       hot                 
XRP        xrp                 
Velas      vlx                 
PancakeSwap cake                
Uniswap    uni                 
NuCypher   nu                  
Cronos     cro                 
VeChain    vet                 
Dash       dash                
MOBOX      mbox                
Neo        neo                 
COTI       coti                
Tether     usdt                
Fantom     ftm                 
Illuvium   ilv                 
DigitalBits xdb                 
Persistence xprt                
Ultra      uos                 
Dent       dent                
Hive       hive                
ConstitutionDAO people              
IoTeX      iotx                
Maker      mkr                 
Status     snt                 
Lisk       lsk                 
Decentraland mana                
Monero     xmr                 
Horizen    zen                 
BNB        bnb                 
Mina       mina                
TrueUSD    tusd                
GateToken  gt                  
Zilliqa    zil                 
WAX        waxp                
TRON       trx                 
Livepeer   lpt                 
OriginTrail trac                
Solana     sol                 
Siacoin    sc                  
Casper     cspr                
Stellar    xlm                 
BORA       bora                
Stacks     stx                 
Cardano    ada                 
Compound   comp                
TerraUSD   ust                 
UMA        uma                 
Cosmos     atom                
Rally      rly                 
Chiliz     chz                 
eCash      xec                 
Kava       kava                
Harmony    one                 
Polkadot   dot                 
Aave       aave                
Polygon    matic               
Ethereum   eth                 
0x         zrx                 
SuperFarm  super               
Litecoin   ltc                 
Kadena     kda                 
Chromia    chr                 
Audius     audio               
PlayDapp   pla                 
Bitcoin    btc                 
Flux       flux                
Tezos      xtz                 
SwissBorg  chsb                
Ren        ren                 
ICON       icx                 
Braintrust btrst               
Algorand   algo                
XYO        xyo                 
dYdX       dydx                
Storj      storj               
Zcash      zec                 
Helium     hnt                 
Tribe      tribe               
Raydium    ray                 
THORChain  rune                
Quant      qnt                 
Secret     scrt                
OKB        okb                 
ApeCoin    ape                 
Revain     rev                 
Avalanche  avax                
Telcoin    tel                 
Bancor     bnt                 
JUST       jst                 
Hedera     hbar                
Arweave    ar                  
Serum      srm                 
renBTC     renbtc              
Coin98     c98                 
Ontology   ont                 
DigiByte   dgb                 
Celsius    cel                 
Klaytn     klay                
Amp        amp                 
Kusama     ksm                 
SushiSwap  sushi               
Flow       flow                
Filecoin   fil                 
Nexo       nexo                
Syscoin    sys                 
Golem      glm                 
IOTA       miota               
Symbol     xym                 
